test_case_id,scanner,operating_point,run,finding_summary,classification,ground_truth,match,category,max_severity
cve_2025_68145,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI03,MEDIUM
cve_2025_68145,sigil,OP1_score_gt13,1,"score=16,bandit=0",TP,vulnerable,True,ASI03,score=16
cve_2025_68145,sigil,OP2_score_gt19,1,"score=16,bandit=0",FN,vulnerable,False,ASI03,score=16
cve_2026_0755,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_0755,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_0755,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_0755,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,MEDIUM
cve_2026_0755,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,MEDIUM
cve_2026_0755,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI05,MEDIUM
cve_2026_0755,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI05,MEDIUM
cve_2026_0755,sigil,OP1_score_gt13,1,"score=29,bandit=2",TP,vulnerable,True,ASI05,score=29
cve_2026_0755,sigil,OP2_score_gt19,1,"score=29,bandit=2",TP,vulnerable,True,ASI05,score=29
cve_2026_0756,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_0756,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_0756,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_0756,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,MEDIUM
cve_2026_0756,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,MEDIUM
cve_2026_0756,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI05,MEDIUM
